high	A000001	bcd76aa4	The number of groups satisfies a(i)a(j)<=a(ij) for all nonnegative i,j.	I conjecture that a(i) * a(j) <= a(i*j) for all nonnegative integers i and j.
high	A000001	bee8ff51	Every orbit obtained by iterating the finite-group counting function gnu eventually consists only of 1's.	It is conjectured in (J. H. Conway, Heiko Dietrich and E. A. O'Brien, 2008) that the sequence n -> a(n) -> a(a(n)) = a^2(n) -> a(a(a(n))) = a^3(n) -> ... -> consists ultimately of 1s, where a(n), denoted by gnu(n), is called the "group number of n". - _Muniru A Asiru_, Nov 19 2017
high	A000215	605715e4	Only the first five Fermat numbers are prime.	It is conjectured that just the first 5 numbers in this sequence are primes.
high	A000241	3650acd8	The crossing number of K_n is C(floor(n/2),2)*C(floor((n-1)/2),2).	Another version of the conjecture is that a(n)=C(floor(n/2),2)*C(floor((n-1)/2),2).
high	A000594	a494bf56	For all m,n, tau(m)^2+tau(n)^2 is not a perfect power.	Conjecture: a(m)^2 + a(n)^2 can never be a perfect power.
high	A000594	c44632ed	Ramanujan's tau(n) is nonzero for every positive n.	It is conjectured that tau(n) is never zero (this has been verified for n < 816212624008487344127999, see the Derickx, van Hoeij, Zeng reference).
high	A000769	b99e7d5c	For all sufficiently large n there are no ways, up to symmetry, to place 2n points on an n by n grid with no three collinear.	It is conjectured that a(n)=0 for all sufficiently large n.
high	A000926	cec88ff0	The displayed list contains all idoneal numbers.	It is conjectured that the list given here is complete. Chowla showed that the list is finite and Weinberger showed that there is at most one further term.
high	A000928	bb4b7229	Regular primes have asymptotic relative density 1/sqrt(e) among all primes.	in fact it is a plausible conjecture that only an asymptotic fraction 1/Sqrt(e) ~ 0.6 of all primes are regular.
high	A000931	640616d9	A000931: Zagier conjectures that a(n+3) is the maximum number of multiple zeta values of weight n > 1 which are linearly independent over the rationals.	Zagier conjectures that a(n+3) is the maximum number of multiple zeta values of weight n > 1 which are linearly independent over the rationals.
high	A002106	336e32ee	A002106(n) equals the number of Galois groups arising from irreducible degree-n polynomials in the intended fixed-base-field setting.	It is conjectured that this is the number of Galois groups for irreducible polynomials of order n. (All such Galois groups are transitive.) - _Charles R Greathouse IV_, May 28 2014
high	A002559	246b3195	Infinitely many Markoff numbers are prime.	It is conjectured that infinitely many Markoff numbers are prime.
high	A002804	7b7af079	Waring's function g(n) equals 2^n+floor((3/2)^n)-2 for every n.	It is known (Kubina and Wunderlich, 1990) that g(n) = 2^n + floor((3/2)^n) - 2 for all n <= 471600000. This formula is conjectured to be correct for all n (see A174420).
high	A005385	1a3fec71	There are infinitely many safe primes, with the stated asymptotic density.	It is conjectured that there are infinitely many safe primes, and their estimated asymptotic density ~ 2C/(log n)^2 (where C = 0.66... is the twin prime constant A005597) converges to the actual value as far as we know. - _M. F. Hasler_, Jun 14 2021
high	A006549	b6f2794c	The sequence of integers k for which k and k+1 are both prime powers is infinite.	It is not known whether this sequence is infinite, but is conjectured to be since:
