S5-CLM-00003486	Arxiv.«0912.2382».curling_number_conjecture	The sequence will eventually reach $1$.	(S₀ : List ℤ) (h : S₀ ≠ []) : ∃ m, k (S S₀ m) = 1
S5-CLM-00003487	CunninghamChain.infinitely_many_firstKind_chains	There are infinitely many first-kind Cunningham chains of every positive exact length.	(k : ℕ) (hk : 0 < k) :     Set.Infinite {p : ℕ | IsFirstKindChainOfLength p k}
S5-CLM-00003488	CunninghamChain.infinitely_many_secondKind_chains	There are infinitely many second-kind Cunningham chains of every positive exact length.	(k : ℕ) (hk : 0 < k) :     Set.Infinite {p : ℕ | IsSecondKindChainOfLength p k}
S5-CLM-00003490	Arxiv.«1601.03081».crystals_components_unique	If $n = ab$ is a crystal, then there are no other pairs of positive integers $c, d > 1$, different from the couple $a, b$, such that $n = cd$ and $B(c, d) ∈ ℕ$, i.e., the components of the crystals are unique.	(n a b c d : ℕ)     (hab : IsCrystalWithComponents n a b) (hcd : IsCrystalWithComponents n c d) :     ({a, b} : Finset ℕ) = {c, d}
S5-CLM-00003494	Arxiv.«1609.08688».maximalLength_le_strong	$F(n) \leq n^{3/2}$.	(n : ℕ) : F n ≤ Real.sqrt n ^ 3
S5-CLM-00003498	Arxiv.«2107.00295».independentDominationEven	**Conjecture 1.6 (Even case).** For a nonempty isolate-free graph $G$ on $n$ vertices, if $D$ is even, then $(D + 2)^2 \cdot i(G) \leq (D^2 + 4) \cdot n$.	(hIso : 0 < G.minDegree) (hEven : Even G.maxDegree) :     let D := G.maxDegree     let i := G.indepDominationNumber     let n := Fintype.card V     (D + 2)^2 * i ≤ (D^2 + 4) * n
S5-CLM-00003499	Arxiv.«2107.00295».independentDominationOdd	**Conjecture 1.6 (Odd case).** For a nonempty isolate-free graph $G$ on $n$ vertices, if $D$ is odd, then $(D + 1)(D + 3) \cdot i(G) \leq (D^2 + 3) \cdot n$.	(hIso : 0 < G.minDegree) (hOdd : Odd G.maxDegree) :     let D := G.maxDegree     let i := G.indepDominationNumber     let n := Fintype.card V     (D + 1) * (D + 3) * i ≤ (D^2 + 3) * n
S5-CLM-00003500	Arxiv.«2107.12475».CollatzLike	For $n > 8$, $2^n$ is not the the sum of distinct powers of $3$. Expressed here in terms of the base $3$ digits of $n$.  This conjecture is equivalent to the halting of a $15$-state $2$-symbol Turing Machine.  TODO(lezeau): Formalize the Turing Machine version of this problem.  Source: *Hardness of Busy Beaver Value BB(15)*: https://link.springer.com/chapter/10.1007/978-3-031-72621-7_9 This is also https://arxiv.org/abs/2107.12475.	(n : ℕ) (hn : 8 < n) : 2 ∈ Nat.digits 3 (2^n)
S5-CLM-00003501	Arxiv.«2208.14736».zariski_cancellation_problem	The **Zariski Cancellation Problem**: every polynomial ring over a field `k` of characteristic `0` is cancellative.	{k : Type*} [Field k]     [CharZero k] {ι : Type*} [Fintype ι] : IsCancellative k (MvPolynomial ι k)
S5-CLM-00003505	Arxiv.id2303_01089.conjecture_1_3	**Conjecture 1.3** (the $\times p, \times q$ conjecture): the only atomless Borel probability measure on $\mathbb{T}$ which is both $T_p$- and $T_q$-invariant is the Lebesgue measure.	{p q : ℕ} (hp : 2 <= p) (hq : 2 <= q) (hpq : MultiplicativelyIndependent p q)     {μ : Measure 𝕋} [IsProbabilityMeasure μ] [MeasureTheory.IsAtomLess μ]     (hmup : MeasurePreserving (Tn p) μ μ)     (hmuq : MeasurePreserving (Tn q) μ μ) :     μ = volume
S5-CLM-00003507	Arxiv.«2501.03234».conjecture_1_1	**Conjecture 1.1**: For any odd prime $k$, the sum associated with the classical theta function $θ_3$, $S(k)$ is positive.	(k : ℕ) (hprim : k.Prime) (hodd : Odd k) : 0 < S k
